Problem,Evaluation Count
HS30,7
HS31,10
HS32,613
HS33,4
HS34,1100
HS35,14
HS36,4
HS37,4
HS38,22
HS39,200
HS41,22
HS42,200
HS43,34
HS44,1037
HS45,22
HS46,306
HS47,257
HS48,1089
HS49,200
HS50,200
HS51,1095
HS52,223
HS53,703
HS55,200
HS56,200
HS59,15
HS60,216
HS61,200
HS62,1094
HS63,1046
HS64,1042
HS65,11
HS66,22
HS68,1100
HS69,1100
HS70,33
HS71,1100
HS72,4
HS73,200
HS74,1100
HS75,1100
HS76,11
HS77,200
HS78,213
HS79,200
HS80,200
HS81,200
HS83,11
HS84,1082
HS85,50
HS86,20
HS87,294
HS88,11
HS89,22
HS90,56
HS91,126
HS92,102
HS93,13
HS95,2
HS96,2
HS97,2
HS98,2
HS99,1100
HS100,300
HS104,1100
HS105,1100
HS109,200
HS110,1095
HS114,282
HS118,4
HS29,12
HS28,200
HS27,289
HS26,1093
HS25,1023
HS24,6
HS23,7
HS22,13
HS21,7
HS20,97
HS19,4
HS18,4
HS17,43
HS16,43
HS15,301
HS14,777
HS13,7
HS12,406
HS11,13
HS10,4
